raceId,driverId,position,odds
86,35,14,20-14
86,42,15,20-15
86,32,16,20-16
86,38,17,20-17
86,27,18,20-18
86,33,19,20-19
86,39,20,20-20
87,4,1,20-1
87,31,2,20-2
87,21,3,20-3
87,18,4,20-4
87,8,5,20-5
87,32,6,20-6
87,30,7,20-7
87,15,8,20-8
87,13,9,20-9
87,22,10,20-10
87,23,11,20-11
87,35,12,20-12
87,33,13,20-13
87,17,14,20-14
87,42,15,20-15
87,14,16,20-16
87,39,17,20-17
87,27,18,20-18
87,11,19,20-19
87,38,20,20-20
88,23,1,20-1
88,18,2,20-2
88,21,3,20-3
88,32,4,20-4
88,11,5,20-5
88,14,6,20-6
88,17,7,20-7
88,35,8,20-8
88,22,9,20-9
88,13,10,20-10
88,39,11,20-11
88,42,12,20-12
88,27,13,20-13
88,30,14,20-14
88,38,15,20-15
88,4,16,20-16
88,8,17,20-17
88,31,18,20-18
88,15,19,20-19
88,33,20,20-20
89,4,1,20-1
89,21,2,20-2
89,8,3,20-3
89,18,4,20-4
89,31,5,20-5
89,30,6,20-6
89,14,7,20-7
89,22,8,20-8
89,23,9,20-9
89,17,10,20-10
89,13,11,20-11
89,15,12,20-12
89,42,13,20-13
89,32,14,20-14
89,39,15,20-15
89,35,16,20-16
89,11,17,20-17
89,27,18,20-18
89,33,19,20-19
89,38,20,20-20
90,30,1,20-1
90,22,2,20-2
90,31,3,20-3
90,18,4,20-4
90,4,5,20-5
90,17,6,20-6
90,11,7,20-7
90,23,8,20-8
90,15,9,20-9
90,8,10,20-10
90,13,11,20-11
90,14,12,20-12
90,43,13,20-13
90,21,14,20-14
90,2,15,20-15
90,45,16,20-16
90,47,17,20-17
90,44,18,20-18
90,32,19,20-19
90,46,20,20-20
91,30,1,20-1
91,17,2,20-2
91,22,3,20-3
91,31,4,20-4
91,8,5,20-5
91,18,6,20-6
91,23,7,20-7
91,15,8,20-8
91,14,9,20-9
91,43,10,20-10
91,13,11,20-11
91,21,12,20-12
91,32,13,20-13
91,44,14,20-14
91,2,15,20-15
91,46,16,20-16
91,47,17,20-17
91,45,18,20-18
91,4,19,20-19
91,11,20,20-20
92,30,1,20-1
92,22,2,20-2
92,31,3,20-3
92,23,4,20-4
92,11,5,20-5
92,18,6,20-6
92,15,7,20-7
92,44,8,20-8
92,43,9,20-9
92,14,10,20-10
92,21,11,20-11
92,32,12,20-12
92,13,13,20-13
92,17,14,20-14
92,2,15,20-15
92,45,16,20-16
92,4,17,20-17
92,46,18,20-18
92,47,19,20-19
92,8,20,20-20
93,18,1,20-1
93,30,2,20-2
93,31,3,20-3
93,22,4,20-4
93,23,5,20-5
93,4,6,20-6
93,11,7,20-7
93,17,8,20-8
93,15,9,20-9
93,43,10,20-10
93,14,11,20-11
93,13,12,20-12
93,44,13,20-13
93,32,14,20-14
93,45,15,20-15
93,2,16,20-16
93,46,17,20-17
93,47,18,20-18
93,21,19,20-19
93,8,20,20-20
94,30,1,20-1
