raceId,driverId,position
23,1,1
23,2,5
23,3,10
23,4,8
23,5,6
23,6,11
23,7,15
23,8,2
23,9,4
23,15,9
23,17,7
23,14,16
23,18,13
23,12,19
23,21,18
23,22,14
23,19,21
23,11,20
23,13,3
23,10,17
23,16,22
23,20,12
