raceId,driverId,position
98,10,17
98,8,11
98,2,15
98,17,16
98,47,18
98,46,21
98,13,12
98,45,20
98,44,13
98,43,14
98,32,19
98,21,9
98,11,7
98,14,10
98,15,4
98,18,3
98,31,6
98,23,8
98,4,5
98,22,2
98,30,1
