raceId,driverId,position
340,4,3
340,13,6
340,1,4
340,20,5
340,3,2
340,30,10
340,18,1
340,17,8
340,24,11
340,22,13
340,9,7
340,16,9
340,153,14
340,807,15
340,5,18
340,67,16
340,15,22
340,37,17
340,811,21
340,10,23
340,808,12
340,155,24
340,810,20
340,812,19
